Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
07,13,19,07,13,19,07,19
01-Abr-1984,27,21.4,23,26.4,23.6,22.2,24,22.8,13,0,C,
02-Abr-1984,31.6,21,22.4,29,23.2,22,24,22.4,17,12,N,6
03-Abr-1984,27,20.8,21.4,26,23.4,21,23.2,22.4,39,1,N,6
04-Abr-1984,22.4,19.8,20,22.2,20,19.8,21,19.8,135,7,N,6
05-Abr-1984,25,18.6,19.4,24.8,21.4,19,21.6,20.8,1,0,NE,9
06-Abr-1984,28,19.8,20.6,26,23,20,24,22,0,0,N,6
07-Abr-1984,25,21.2,22,24.2,21,21.2,23.2,20.8,3,7,N,9
08-Abr-1984,27.2,19.4,21,26,23,20.6,23,22,1,0,N,6
09-Abr-1984,25,20.6,21,24,22.6,20.4,23,22,10,11,N,6
10-Abr-1984,30.2,20,21.2,30,23,21,23,22,0,3,N,6
11-Abr-1984,29.6,19,20,28.4,22.4,19.4,23.4,21.6,0,0,C,
12-Abr-1984,30,20.6,21,28,23,20.4,24,22.2,60,0,N,6
13-Abr-1984,30,19,20.4,30,23.8,20,24.6,23,0,0,N,6
14-Abr-1984,30,21.4,22,28.8,23,21.8,24.6,22,13,0,N,6
15-Abr-1984,31,21,24,30.6,24,23,25.8,23,0,0,NE,12
16-Abr-1984,31,22,23,30,24.8,22,25.4,24,0,0,C,
17-Abr-1984,28,21.8,22.4,27,24,22.2,24,23,3,0,N,9
18-Abr-1984,28.6,21.6,23,28,25,22,25,24,0,0,N,6
19-Abr-1984,23.4,21.4,22.2,22.6,21,22,22.4,20.8,35,.5,N,6
20-Abr-1984,24.2,20.2,22,24,21.8,21.4,23,21.4,1,0,N,6
21-Abr-1984,27,20.4,22,26.4,22.8,21.4,24.8,22.4,4,0,N,6
22-Abr-1984,25,21.4,22,23.2,21,21.8,22.4,20.2,56,5,N,6
23-Abr-1984,29.6,19.4,20.6,29,25,20,25,24,1,0,N,6
24-Abr-1984,24,21.6,23,23,22,22,22.4,21.4,1,37,N,6
25-Abr-1984,25,18.2,19,24.6,21,18.4,22,20,9,0,C,
26-Abr-1984,26,19,20,25,22,19,22,21,0,0,N,6
27-Abr-1984,27,20,21,25,22,20.4,23,21,1,5,N,6
28-Abr-1984,24,20.4,21,25,21,20.8,22,20,4,3,N,6
29-Abr-1984,29,19.8,21,29,25,20.8,25,24,0,0,N,9
30-Abr-1984,24,20.8,21.4,22,21,21,21,20.8,24,26,N,6
Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
07,13,19,07,13,19,07,19
01-May-1984,24,19.8,20.6,23,19.6,20.2,21,19.2,1,0,N,6
02-May-1984,28.4,18.4,20,28,24,19,26,22,0,0,N,6
03-May-1984,28.4,21,22,28,25,21.4,25,24,0,0,N,6
04-May-1984,29.4,22,23,29,24,22.4,25,23,0,0,N,6
05-May-1984,30,22.4,22.6,29.4,24,22,25,23,0,4,C,
06-May-1984,27,22.4,23,26,23,22.6,24,22.4,3,0,C,
07-May-1984,30.2,20,21,30,24,20.4,25,23,0,0,N,6
08-May-1984,28.2,21.2,22,28,23.8,21.4,24.4,23.4,37,.5,N,6
09-May-1984,28,21.2,22.2,26.2,22,22,24,21,35,0,C,
10-May-1984,30,18,20,30,24,19,24,23,0,0,NE,6
11-May-1984,29,21,23,29,23,22,26,22,0,1,N,6
12-May-1984,26,20.8,22,25,21.4,21.8,23.4,20.8,2,1,N,6
13-May-1984,25.2,18,19,24,22,18,23,21,3,1,N,9
14-May-1984,23.2,15,17,23,20,16.2,20.4,19,0,0,N,9
15-May-1984,27,17.6,19,26,21,18,23,20.2,0,0,N,6
16-May-1984,25,19.4,20,25,22,19.6,22,21,.5,0,N,6
17-May-1984,27.6,19.4,20,27.4,23,19.8,23.2,22,0,0,NE,9
18-May-1984,28.4,20.6,22,28.4,23,21.4,24,22,0,0,N,6
19-May-1984,28,21,21.4,27,23,21,24,22,0,5,N,6
20-May-1984,27,21.4,22,25,24,21.8,24,23,9,2,C,
21-May-1984,29,19.8,21.8,29,23,21,25,22,0,0,N,6
22-May-1984,30.4,19,20,30,24,19.6,25.4,23,0,0,N,6
23-May-1984,30,21.4,22.2,29,25,22,25,24,1,0,N,6
24-May-1984,28.4,21.8,23,28,24,22,25,23,0,0,N,6
25-May-1984,29,22,23.4,28,24,22.4,25,23,5,0,N,6
26-May-1984,28.4,21.4,22,28,23.4,21.6,24.8,23,0,0,C,
27-May-1984,29,20.2,22,28,25,21,24,24,0,0,N,6
28-May-1984,29,19.4,21,28,24.6,20.2,24,24.6,44,0,N,9
29-May-1984,29,22,23,28,25,22,24.6,24,1,0,NE,9
