01-Ago-2011,30,15.8,22.4,29,23.8,22,28,23,0,0,C,
02-Ago-2011,24,21.6,23,23,20.2,22.4,22.8,19.6,0,0,C,
03-Ago-2011,24,17.6,18,20,16.4,18,19.6,16,7,3.3,SE,4
04-Ago-2011,25.8,13,13,22.6,19,12,21,18.2,1.5,0,S,6
05-Ago-2011,30.8,11.6,14.6,28.8,21.6,13.8,26,22,0,0,N,4
06-Ago-2011,33,11.6,23.6,31.8,24,20.2,29.6,23.2,0,0,W,2
07-Ago-2011,30.4,12,21.4,33.6,24.4,21.2,31.4,24,0,0,NW,4
08-Ago-2011,34.8,12.2,25.6,34,24.2,22,31.2,24,0,0,N,4
09-Ago-2011,35.6,12,24.2,33.8,26.2,24,32.2,26,0,0,NW,4
10-Ago-2011,35,12.2,20,35.4,25.6,19.6,34.6,25,0,0,C,
11-Ago-2011,35.6,12,18.6,32.2,24.4,18.2,35,24,0,0,N,2
12-Ago-2011,36.4,15.4,18.8,35.6,22.6,17.6,34,22,0,0,W,4
13-Ago-2011,36.4,16.2,19.2,34.8,26.4,18.8,33.4,25.4,6,0,N,4
14-Ago-2011,36,19,20.6,26.6,24.2,20,26.8,24,0,0,N,2
15-Ago-2011,36,20,21.4,33.6,23.8,21,33,23,0,0,NE,4
16-Ago-2011,35,18,20.6,34.2,27.2,20,31,27,0,0,C,
17-Ago-2011,35,18.2,24.2,31,28.6,23.6,31.4,27.4,0,0,N,2
18-Ago-2011,31,20,23.6,35.4,24.2,23,35,24,0,0,N,2
19-Ago-2011,36,20,22.4,34.2,27.4,22,34,26,0,0,N,2
20-Ago-2011,35.2,21,26,22,16.2,25,21.6,16,0,0,S,6
21-Ago-2011,20,12,14.8,19,16.6,13.2,18,16,0,0,NE,4
22-Ago-2011,25.6,12.2,14.4,25.2,19.4,14,25,19,0,0,E,4
23-Ago-2011,30,13,14.2,23.6,20.6,14,22.4,20,0,0,SW,4
24-Ago-2011,31,10.6,9.4,29.2,21.8,9.2,27.8,21,0,0,W,2
25-Ago-2011,30,10.6,16.8,31,26.6,15.2,31.4,24.4,0,0,N,2
26-Ago-2011,35.8,10,16.6,34.8,24.4,16,32.4,24,0,0,NW,4
27-Ago-2011,36,10,22.6,34.6,26.8,22,27.6,26,0,0,C,
28-Ago-2011,35.8,16.8,22.8,34,26.4,22,28.2,25,0,0,C,
29-Ago-2011,36,21,22.4,33.4,28.4,21.4,33,37,0,0,N,2
30-Ago-2011,37.6,20.1,21.6,37,27.8,21,32.8,37.8,0,0,N,4
31-Ago-2011,37,20.4,24.4,21.2,21.2,24.2,20,20,0,30,S,4
01-Sep-2011,37.2,18.4,18.6,30.6,23,18.4,30.2,22.6,0,0,N,2
02-Sep-2011,36,15.2,15.6,32.6,23.4,15.4,32.4,23,0,0,C,
03-Sep-2011,36,15.2,17.4,34,25.4,17.2,26.2,25,0,0,C,
04-Sep-2011,35.6,15.2,20,33.8,27.2,19.8,26.8,25.8,0,0,C,
05-Sep-2011,36.4,19,21.5,35.6,28,21,27.4,27.6,0,0,N,4
06-Sep-2011,36.2,20.6,22.6,31.6,18.6,22.2,25.6,28.4,0,0,N,2
