11-Oct-2016,24.33,27.6,21.5,83.92,11.5,-999,1.18,65
12-Oct-2016,23.58,30.3,20.9,83.84,2.5,-999,.75,98
13-Oct-2016,24.77,31.2,21.8,80.74,17.6,-999,1.05,340
14-Oct-2016,21.3,21.6,21,90.5,12.7,-999,.85,36
16-Oct-2016,23.3,23.3,23.3,87,0,-999,2.1,134
17-Oct-2016,23.08,28.4,20.9,86.16,30.3,-999,1.58,172
18-Oct-2016,23.98,30,20.2,84.44,2.5,-999,1.13,132
19-Oct-2016,24.08,29.2,21,85.05,2.5,-999,1.47,133
20-Oct-2016,24.49,31.7,20.8,78.58,0,-999,1.66,141
21-Oct-2016,21.96,22.6,21.3,82.56,.8,-999,1.78,42
23-Oct-2016,22.97,26.3,21.7,83,0,-999,1.03,126
24-Oct-2016,25.49,31.3,20.9,81.38,0,-999,1.5,177
25-Oct-2016,24.5,29.7,21.6,83.05,0,-999,1.16,117
26-Oct-2016,24.42,29,22.3,85.21,3.6,-999,.81,9
27-Oct-2016,20.81,23,18.9,92.4,25.3,-999,1.19,128
28-Oct-2016,20.63,27.9,17.4,90.23,0,-999,.96,32
30-Oct-2016,25.9,31.4,21.3,61.2,0,-999,1.34,6
31-Oct-2016,23.28,29.5,19.5,77.37,0,-999,1.25,126
01-Nov-2016,26.07,31.2,22.4,79.13,.4,-999,1.06,139
02-Nov-2016,23.21,25.5,21,90.79,67,-999,.74,10
03-Nov-2016,20.63,21.6,19.3,91.42,1.7,-999,1.26,348
04-Nov-2016,22.02,28.8,19,75.89,0,-999,1.25,130
05-Nov-2016,24.69,31.4,20.1,71.75,0,-999,1.62,149
06-Nov-2016,25.49,32.3,20,70.33,0,-999,1.5,134
07-Nov-2016,25.12,30.8,22,79.5,0,-999,.98,135
08-Nov-2016,25.64,29.8,23.1,83.38,0,-999,1.37,121
09-Nov-2016,23.13,26,21.8,88.64,0,-999,1.23,106
10-Nov-2016,23.29,27,21.7,93.71,2.1,-999,.58,21
11-Nov-2016,22.36,23.7,22,95.22,.3,-999,.23,65
13-Nov-2016,22.36,23.2,21.4,94.67,5.4,-999,1.04,342
14-Nov-2016,23.2,26.5,21.5,93.63,.3,-999,.44,134
15-Nov-2016,25.05,30.4,22.5,88.84,0,-999,.63,144
16-Nov-2016,24.91,27.4,23.1,89.16,0,-999,.44,119
17-Nov-2016,24.12,26.6,23.1,92.25,9.8,-999,.61,146
18-Nov-2016,22.17,24.8,20.8,94.96,27.6,-999,.89,142
19-Nov-2016,23.48,28,20.4,85.79,0,-999,1,15
20-Nov-2016,24.03,27.9,21.4,80.58,0,-999,1.24,122
21-Nov-2016,23.6,25.4,22.5,84.14,.2,-999,1.41,137
22-Nov-2016,23.97,26.3,21.7,86.08,33.3,-999,.91,223
23-Nov-2016,21.66,23.1,20.9,93.07,1.5,-999,.37,2
26-Nov-2016,28.39,30.5,25.8,77.63,0,-999,1.09,6
27-Nov-2016,-86.49,28.6,-999,-38.22,0,-999,1.38,6
28-Nov-2016,-999,-999,-999,-999,0,-999,2.4,173
29-Nov-2016,25.04,26.8,24.3,86.5,7.8,-999,1.3,12
01-Dic-2016,27.36,28.7,24.8,80.44,0,-999,1.8,22
02-Dic-2016,-146.23,25.5,-999,-92.83,-999,-999,1.08,293
03-Dic-2016,25.99,27.1,23.4,85.22,0,-999,1.52,35
