31-Oct-2006,.8,.8,.8,.8,
01-Nov-2006,.8,.8,.8,.8,
02-Nov-2006,.8,.8,.8,.8,
03-Nov-2006,.8,.8,.8,.8,
04-Nov-2006,.8,.8,.8,.8,
05-Nov-2006,.8,.8,.8,.8,
06-Nov-2006,.8,.8,.8,.8,
07-Nov-2006,.8,.8,.8,.8,
08-Nov-2006,.8,.8,.8,.8,
09-Nov-2006,.83,.83,.83,.83,
10-Nov-2006,.82,.82,.82,.82,
11-Nov-2006,.81,.81,.81,.8,
12-Nov-2006,.8,.8,.8,.8,
13-Nov-2006,.8,.8,.8,.79,
14-Nov-2006,.79,.79,.79,.79,
15-Nov-2006,.79,.79,.79,.79,
16-Nov-2006,.79,.79,.79,.79,
17-Nov-2006,.79,.79,.79,.79,
18-Nov-2006,.79,.79,.79,.79,
19-Nov-2006,.78,.78,.78,.78,
20-Nov-2006,.78,.78,.79,.79,
21-Nov-2006,.79,.79,.79,.79,
22-Nov-2006,.8,.8,.8,.8,
23-Nov-2006,.81,.81,.81,.81,
24-Nov-2006,.8,.8,.8,.8,
25-Nov-2006,.8,.8,.8,.8,
26-Nov-2006,.8,.8,.8,.8,
27-Nov-2006,.8,.8,.8,.8,
28-Nov-2006,.79,.79,.79,.79,
29-Nov-2006,.79,.79,.79,.79,
30-Nov-2006,.79,.79,.79,.79,
01-Dic-2006,.83,.83,.83,.83,
02-Dic-2006,.9,.9,.9,.92,
03-Dic-2006,.91,.91,.92,.93,
04-Dic-2006,.93,.93,.93,.93,
05-Dic-2006,.93,.93,.95,.95,
06-Dic-2006,.95,.95,.96,.97,
07-Dic-2006,.96,.96,.96,.97,
08-Dic-2006,.98,.98,.98,.99,
09-Dic-2006,.99,.99,1.01,1.01,
10-Dic-2006,1.02,1.05,1.05,1.07,
11-Dic-2006,1.05,1.05,1.05,1.06,
12-Dic-2006,1.05,1.04,1.04,1.04,
13-Dic-2006,1.03,1.03,1.03,1.03,
14-Dic-2006,1.01,1.01,1.01,1.01,
15-Dic-2006,1,1,1,1,
16-Dic-2006,1,1,1,1,
17-Dic-2006,1,1.03,1.05,1.05,
18-Dic-2006,1.05,1.05,1.06,1.07,
19-Dic-2006,1.09,1.09,1.09,1.09,
20-Dic-2006,1.13,1.13,1.13,1.15,
21-Dic-2006,1.17,1.17,1.19,1.19,
22-Dic-2006,1.22,1.22,1.25,1.27,
23-Dic-2006,1.3,1.3,1.33,1.38,
24-Dic-2006,1.4,1.43,1.5,1.57,
25-Dic-2006,1.13,1.13,1.13,1.12,
26-Dic-2006,1.01,1,.99,.99,
27-Dic-2006,1.08,1.09,1.1,1.1,
28-Dic-2006,1.15,1.17,1.2,1.22,
29-Dic-2006,1.1,1.13,1.12,1.12,
30-Dic-2006,1,1,.99,.99,
31-Dic-2006,.99,.99,.99,.99,
01-Ene-2007,.98,.98,.98,.98,
02-Ene-2007,.98,.98,.99,.99,
03-Ene-2007,.99,.99,1.07,1.09,
04-Ene-2007,1.15,1.2,1.23,1.28,
05-Ene-2007,1.07,1.07,1.05,1.03,
06-Ene-2007,1,1,1.03,1.03,
07-Ene-2007,1.13,1.13,1.13,1.14,
08-Ene-2007,1.1,1.09,1.05,1.05,
09-Ene-2007,1.05,1.05,1.05,1.05,
10-Ene-2007,1.03,1.03,1.03,1.05,
11-Ene-2007,1.07,1.07,1.06,1.06,
12-Ene-2007,1.09,1.12,1.18,1.18,
13-Ene-2007,1.05,1.05,1.09,1.1,
14-Ene-2007,1.09,1.09,1.09,1.09,
15-Ene-2007,1.06,1.06,1.06,1.06,
16-Ene-2007,1.02,1.02,1.03,1.03,
17-Ene-2007,1.05,1.05,1.08,1.08,
18-Ene-2007,1.2,1.25,1.33,1.33,
19-Ene-2007,1.1,1.1,1.08,1.08,
20-Ene-2007,1.15,1.15,1.15,1.15,
21-Ene-2007,1.2,1.2,1.22,1.22,
22-Ene-2007,1.08,1.08,1.08,1.08,
23-Ene-2007,1.2,1.2,1.23,1.23,
24-Ene-2007,1.19,1.19,1.18,1.18,
25-Ene-2007,1.21,1.21,1.19,1.17,
26-Ene-2007,1.08,1.08,1.09,1.09,
27-Ene-2007,1.14,1.14,1.13,1.12,
28-Ene-2007,1.25,1.22,1.2,1.19,
29-Ene-2007,1.09,1.04,1.09,1.08,
30-Ene-2007,1.12,1.15,1.2,1.23,
31-Ene-2007,1.13,1.13,1.13,1.13,
01-Feb-2007,1,1,1,1.03,
02-Feb-2007,1.05,1.05,1.05,1.05,
03-Feb-2007,1.2,1.17,1.16,1.13,
04-Feb-2007,1.1,1.1,1.08,1.05,
05-Feb-2007,1.04,1.04,1.04,1.05,
06-Feb-2007,1.09,1.09,1.08,1.07,
07-Feb-2007,1.15,1.15,1.19,1.2,
08-Feb-2007,1.2,1.23,1.23,1.26,
09-Feb-2007,1.13,1.13,1.1,1.09,
10-Feb-2007,1,.97,.97,.95,
11-Feb-2007,.99,1.01,1.06,1.1,
12-Feb-2007,1.03,1.07,1.1,1.13,
13-Feb-2007,1.1,1.13,1.14,1.14,
14-Feb-2007,1.17,1.2,1.26,1.29,
15-Feb-2007,1.26,1.28,1.31,1.33,
16-Feb-2007,1.17,1.14,1.12,1.09,
17-Feb-2007,1.07,1.05,1.03,1.03,
18-Feb-2007,1.12,1.12,1.1,1.1,
19-Feb-2007,1.16,1.16,1.13,1.13,
20-Feb-2007,1.19,1.22,1.25,1.26,
21-Feb-2007,1.16,1.18,1.18,1.21,
22-Feb-2007,1.07,1.09,1.1,1.13,
23-Feb-2007,1.05,1.05,1.03,1.03,
24-Feb-2007,.98,.99,1,1.03,
25-Feb-2007,1.09,1.07,1.04,1.02,
26-Feb-2007,1.17,1.15,1.13,1.12,
27-Feb-2007,1.12,1.1,1.09,1.08,
28-Feb-2007,1.3,1.39,1.4,1.42,
01-Mar-2007,1.02,1.02,1.02,1.04,
02-Mar-2007,1,1,1.01,1.01,
03-Mar-2007,1,1,1,1,
04-Mar-2007,.99,.99,1,1,
05-Mar-2007,1.05,1.05,1.06,1.06,
06-Mar-2007,1.1,1.12,1.13,1.15,
07-Mar-2007,1.13,1.14,1.15,1.15,
08-Mar-2007,1.18,1.18,1.2,1.2,
09-Mar-2007,1.22,1.22,1.22,1.22,
10-Mar-2007,1.3,1.33,1.33,1.37,
