Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
07,13,19,07,13,19,07,19
27-Oct-1971,29,22,22,28,28,,,,,,S,2
28-Oct-1971,32,21,22,29,26,,,,,,N,2
29-Oct-1971,29,19,23,26,28,,,,,,S,2
30-Oct-1971,25,21,22,26,24,,,,,,N,2
31-Oct-1971,31,21,22,30,26,,,,,,N,4
Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
07,13,19,07,13,19,07,19
01-Nov-1971,34,22,22,33,31,,,,,,N,6
02-Nov-1971,37,24,25,36,30,,,,,,N,4
03-Nov-1971,30,21,25,26,23,,,,,,S,6
04-Nov-1971,33,18,19,30,30,,,,,,N,4
05-Nov-1971,33,22,24,32,30,,,,,,N,5
06-Nov-1971,32,22,24,31,23,,,,,,N,5
07-Nov-1971,30,20,21,29,24,,,,,,S,6
08-Nov-1971,30,21,24,30,24,,,,,,N,2
09-Nov-1971,30,21,22,30,26,,,,,,N,2
10-Nov-1971,32,20,23,31,28,,,,,,N,1
11-Nov-1971,33,23,25,32,26,,,,,,N,1
12-Nov-1971,31,20,24,26,21,,,,,,N,6
13-Nov-1971,30,21,22,29,25,,,,,,N,3
14-Nov-1971,31,20,21,30,28,,,,,,N,1
15-Nov-1971,30,21,24,28,26,,,,,,N,2
16-Nov-1971,34,22,23,29,25,,,,,,N,3
17-Nov-1971,32,22,24,31,28,,,,,,N,2
18-Nov-1971,34,23,24,33,31,,,,,,S,3
19-Nov-1971,26,20,24,23,23,,,,,,S,5
20-Nov-1971,32,18,21,30,25,,,,,,N,2
21-Nov-1971,27,20,20,26,25,,,,,,S,3
22-Nov-1971,32,20,25,31,29,,,,,,N,3
23-Nov-1971,31,22,23,29,27,,,,,,N,1
24-Nov-1971,30,20,23,29,28,,,,,,N,3
25-Nov-1971,32,22,24,31,29,,,,,,N,3
26-Nov-1971,29,19,19,29,24,,,,,,S,8
27-Nov-1971,29,20,21,29,25,,,,,,N,1
28-Nov-1971,33,22,24,31,29,,,,,,N,3
29-Nov-1971,31,22,24,30,25,,,,,,N,3
30-Nov-1971,32,24,24,30,26,,,,,,N,4
Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
07,13,19,07,13,19,07,19
01-Dic-1971,33,23,25,32,29,,,,,,N,1
02-Dic-1971,34,22,23,34,29,,,,,,N,1
03-Dic-1971,32,23,23,28,24,,,,,,N,3
04-Dic-1971,30,22,24,29,26,,,,,,N,1
05-Dic-1971,22,16,17,21,20,,,,,,S,3
06-Dic-1971,28,20,21,26,25,,,,,,N,1
07-Dic-1971,28,20,21,28,26,,,,,,N,2
08-Dic-1971,33,21,23,30,28,,,,,,N,1
09-Dic-1971,33,23,24,33,26,,,,,,N,3
10-Dic-1971,32,23,24,30,25,,,,,,N,2
11-Dic-1971,28,22,23,26,25,,,,,,N,1
12-Dic-1971,28,22,24,28,26,,,,,,N,2
13-Dic-1971,34,23,25,33,32,,,,,,N,2
14-Dic-1971,32,24,25,27,24,,,,,,N,4
15-Dic-1971,33,23,25,32,27,,,,,,N,3
16-Dic-1971,33,23,24,32,29,,,,,,N,3
17-Dic-1971,34,23,25,33,30,,,,,,N,3
18-Dic-1971,32,24,25,27,25,,,,,,N,4
19-Dic-1971,27,23,24,27,25,,,,,,N,3
20-Dic-1971,33,22,23,31,30,,,,,,N,3
21-Dic-1971,33,26,27,32,29,,,,,,N,1
22-Dic-1971,34,21,23,33,27,,,,,,N,2
23-Dic-1971,32,21,22,32,24,,,,,,N,5
24-Dic-1971,21,17,18,21,20,,,,,,S,6
25-Dic-1971,32,19,20,29,31,,,,,,N,2
26-Dic-1971,35,22,24,32,31,,,,,,N,1
27-Dic-1971,35,21,25,35,30,,,,,,N,1
28-Dic-1971,34,22,23,28,24,,,,,,N,3
29-Dic-1971,32,22,24,32,25,,,,,,N,3
30-Dic-1971,33,22,25,32,28,,,,,,N,1
31-Dic-1971,32,23,24,27,27,,,,,,N,3
Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
07,13,19,07,13,19,07,19
01-Ene-1972,34,23,25,34,31,,,,,,N,3
02-Ene-1972,33,23,25,32,29,,,,,,N,3
03-Ene-1972,30,23,24,30,25,,,,,,N,3
04-Ene-1972,29,23,24,28,24,,,,,,N,3
05-Ene-1972,32,21,22,31,24,,,,,,S,3
06-Ene-1972,30,22,23,30,23,,,,,,N,2
07-Ene-1972,25,21,21,25,23,,,,,,S,3
08-Ene-1972,30,21,24,29,27,,,,,,N,3
09-Ene-1972,32,22,23,31,27,,,,,,S,3
10-Ene-1972,30,22,23,28,26,,,,,,N,3
11-Ene-1972,33,22,22,32,26,,,,,,S,2
12-Ene-1972,32,22,22,31,29,,,,,,N,2
13-Ene-1972,31,21,23,30,30,,,,,,N,3
14-Ene-1972,30,23,23,28,26,,,,,,N,2
15-Ene-1972,34,20,23,32,28,,,,,,N,2
16-Ene-1972,33,22,23,30,26,,,,,,N,3
17-Ene-1972,27,23,24,24,25,,,,,,N,3
18-Ene-1972,32,23,23,32,25,,,,,,N,3
19-Ene-1972,32,22,23,32,27,,,,,,N,1
20-Ene-1972,34,22,24,31,30,,,,,,N,3
21-Ene-1972,32,23,24,27,25,,,,,,N,3
22-Ene-1972,31,23,24,30,26,,,,,,N,2
23-Ene-1972,32,22,23,30,28,,,,,,N,3
24-Ene-1972,33,23,24,31,27,,,,,,N,1
25-Ene-1972,28,24,25,28,26,,,,,,N,4
26-Ene-1972,31,23,23,30,24,,,,,,N,3
27-Ene-1972,31,22,23,28,31,,,,,,N,4
28-Ene-1972,31,23,23,29,31,,,,,,N,3
29-Ene-1972,28,24,24,25,24,,,,,,N,3
30-Ene-1972,33,22,23,33,28,,,,,,N,4
31-Ene-1972,31,25,26,31,30,,,,,,N,2
